Ionization_Mode,DTXSID,CASRN,Preferred_Name,mean_RT,n_Repeated_Hits,DTXSID_Isomer,Observed_Isomer,Isomer_Number,Isomer_Order,Questionable_Hit,Corrected_HighConc,Corrected_MidConc,Corrected_LowConc,mean_High_Intensity,mean_Mid_Intensity,mean_Low_Intensity,std_High_Intensity,std_Mid_Intensity,std_Low_Intensity,RF_HighConc,RF_MedConc,RF_LowConc,RF_Average,SMILES,QSAR_READY_SMILES,Desalted SMILES,Desalted SMILES Mod,E QSPR,S QSPR,A QSPR,B QSPR,V,L QSPR,MW,Ncharges,C,Cl,N,O,S,F,P,H,Br,Si,I,RNH2,R2NH,R3N,ROPO3,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC,log_RF_Average
Esi+,DTXSID0032494,55219-65-4,Triadimenol,8.47,1,1,1,,,0,0.49,0.122,0.024,23687004,7415036,1595228,,,,48340824.49,60778983.61,66467833.33,58529213.81,CC(C)(C)C(O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1,-,CC(C)(C)C(O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1,CC(C)(C)C(O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1,1.55,1.8,0.31,1.48,2.1882,9.215,277.6217,0,14,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,7.77
Esi+,DTXSID0032520,131860-33-8,Azoxystrobin,7.49,1,0,0,,,0,0.49,0.122,0.024,29633876,11540502,2303995,,,,60477297.96,94594278.69,95999791.67,83690456.1,CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1,COC=C(C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1,CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1,CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1,2.53,2.69,0.02,2,2.9165,13.664,386.2525,0,22,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,3,3,7.92
Esi+,DTXSID0032578,59669-26-0,Thiodicarb,4.99,1,0,0,,,0,0.49,0.122,0.024,5691633,2002440,326083,,,,11615577.55,16413442.62,13586791.67,13871937.28,CS\C(C)=N\OC(=O)N(C)SN(C)C(=O)O\N=C(/C)SC,CSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,CS\C(C)=N\OC(=O)N(C)SN(C)C(=O)O\N=C(/C)SC,CS\C(C)=N\OC(=O)N(C)SN(C)C(=O)O\N=C(/C)SC,1.88,1.21,0,1.67,2.4701,10.863,336.3264,0,10,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7.14
Esi+,DTXSID0034223,119168-77-3,Tebufenpyrad,11.62,1,0,0,,,0,0.49,0.122,0.024,85110192,30183712,6980727,,,,173694269.4,247407475.4,290863625,237321789.9,CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,1.46,2.3,0.34,1.17,2.6501,11.194,309.6651,0,18,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,8.38
Esi+,DTXSID0034227,119515-38-7,Icaridin,6.79,1,0,0,,,0,0.49,0.122,0.024,19444276,6538205,1196055,,,,39682195.92,53591844.26,49835625,47703221.73,CCC(C)OC(=O)N1CCCCC1CCO,CCC(C)OC(=O)N1CCCCC1CCO,CCC(C)OC(=O)N1CCCCC1CCO,CCC(C)OC(=O)N1CCCCC1CCO,0.47,1.03,0.33,0.96,1.9237,7.397,206.1333,0,12,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,7.68
Esi+,DTXSID0034300,135410-20-7,Acetamiprid,1.62,1,0,0,,,0,0.49,0.122,0.024,10289948,4656798,1123623,,,,20999893.88,38170475.41,46817625,35329331.43,CN(CC1=CN=C(Cl)C=C1)C(\C)=N\C#N,[H]N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(C)C)C(O)=O,CN(CC1=CN=C(Cl)C=C1)C(\C)=N\C#N,CN(CC1=CN=C(Cl)C=C1)C(\C)=N\C#N,1.4,1.57,0.05,1.21,1.6726,7.51,211.5868,0,10,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,7.55
Esi+,DTXSID0034776,57018-04-9,Tolclofos-methyl,7.9,1,0,0,,,0,0.49,0.122,0.024,2308712,785524,139872,,,,4711657.143,6438721.311,5828000,5659459.485,COP(=S)(OC)OC1=C(Cl)C=C(C)C=C1Cl,COP(=S)(OC)OC1=C(Cl)C=C(C)C=C1Cl,COP(=S)(OC)OC1=C(Cl)C=C(C)C=C1Cl,COP(=S)(OC)OC1=C(Cl)C=C(C)C=C1Cl,1.24,0.9,0,0.63,1.9281,8.122,290.039262,0,9,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.75
Esi+,DTXSID0034803,219714-96-2,Penoxsulam,3.28,1,0,0,,,0,0.49,0.122,0.024,10410368,5050983,849589,,,,21245648.98,41401500,35399541.67,32682230.22,COC1=CN=C(OC)N2N=C(NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)N=C12,COC1=CN=C(OC)N2N=C(NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)N=C12,COC1=CN=C(OC)N2N=C(NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)N=C12,COC1=CN=C(OC)N2N=C(NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)N=C12,2.21,2.95,0.12,2.14,2.7807,12.889,469.258716,0,16,0,5,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,7.51
Esi+,DTXSID0034855,79241-46-6,Fluazifop-P-butyl,11.86,1,0,0,,,0,0.49,0.122,0.024,61852000,24691574,4467568,,,,126228571.4,202389950.8,186148666.7,171589063,CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=CC=C(C=N2)C(F)(F)F)C=C1,CCCCOC(=O)C(C)OC1=CC=C(OC2=CC=C(C=N2)C(F)(F)F)C=C1,CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=CC=C(C=N2)C(F)(F)F)C=C1,CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=CC=C(C=N2)C(F)(F)F)C=C1,1.1,1.34,0,1.36,2.6552,10.386,364.2107496,0,19,0,1,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,8.23
Esi+,DTXSID0034930,98886-44-3,Fosthiazate,5.15,1,0,0,,,0,0.49,0.122,0.024,26059844,7880857,1268957,,,,53183355.1,64597188.52,52873208.33,56884583.99,CCOP(=O)(SC(C)CC)N1CCSC1=O,CCOP(=O)(SC(C)CC)N1CCSC1=O,CCOP(=O)(SC(C)CC)N1CCSC1=O,CCOP(=O)(SC(C)CC)N1CCSC1=O,1.14,1.42,0,1.05,2.0326,8.798,265.204962,0,9,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.75
Esi+,DTXSID0037237,10238-21-8,Glybenclamide,8.37,1,0,0,,,0,0.49,0.122,0.024,15046218,6674044,1519397,,,,30706567.35,54705278.69,63308208.33,49573351.46,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,2.7,3.6,0.76,1.96,3.5583,17.217,465.7812,0,23,1,3,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,2,7.7
Esi+,DTXSID0037493,1610-17-9,Atraton,5.05,1,0,0,,,0,0.392,0.0976,0.0192,24770840,6837397,1131845,,,,63190918.37,70055297.13,58950260.42,64065491.97,CCNC1=NC(NC(C)C)=NC(OC)=N1,CCNC1=NC(NC(C)C)=NC(OC)=N1,CCNC1=NC(NC(C)C)=NC(OC)=N1,CCNC1=NC(NC(C)C)=NC(OC)=N1,1.1,1.24,0.14,1.1,1.6968,6.924,194.1292,0,9,0,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,7.81
Esi+,DTXSID0037522,10311-84-9,Dialifor,10.74,1,0,0,,,0,0.49,0.122,0.024,6581921,2331747,434003,,,,13432491.84,19112680.33,18083458.33,16876210.17,CCOP(=S)(OCC)SC(CCl)N1C(=O)C2=C(C=CC=C2)C1=O,CCOP(=S)(OCC)SC(CCl)N1C(=O)C2=C(C=CC=C2)C1=O,CCOP(=S)(OCC)SC(CCl)N1C(=O)C2=C(C=CC=C2)C1=O,CCOP(=S)(OCC)SC(CCl)N1C(=O)C2=C(C=CC=C2)C1=O,1.94,2.65,0,1.03,2.6376,11.886,376.710862,0,14,1,1,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,7.23
Esi+,DTXSID0037576,1746-81-2,Monolinuron,4.47,1,0,0,,,0,0.732,0.244,0.061,27301542,13701450,3194057,,,,37297188.52,56153483.61,52361590.16,48604087.43,CON(C)C(=O)NC1=CC=C(Cl)C=C1,CON(C)C(=O)NC1=CC=C(Cl)C=C1,CON(C)C(=O)NC1=CC=C(Cl)C=C1,CON(C)C(=O)NC1=CC=C(Cl)C=C1,1.24,1.42,0.38,0.81,1.5355,7.05,203.5615,0,9,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,7.69
Esi+,DTXSID0038887,7/5/21,Fluorescein,3.29,2,0,0,,,0,0.49,0.122,0.024,17713423,8121935,1449376,13204005,8231861,1513606,36149842.86,66573237.7,60390666.67,54371249.08,OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1,OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1,OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1,OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1,2.66,2.74,0.82,0.81,2.2471,13.26,320.211,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,5,3,7.74
Esi+,DTXSID0040674,67-73-2,Fluocinolone acetonide,6.79,1,0,0,,,0,0.49,0.122,0.024,8236292,3720350,808676,,,,16808759.18,30494672.13,33694833.33,26999421.55,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,2.06,3.03,0.7,2.37,3.1628,13.919,427.2897064,0,24,0,0,6,0,2,0,5,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,5,0,7.43
Esi+,DTXSID0040676,29094-61-9,Glipizide,5.32,1,0,0,,,0,0.196,0.0488,0.0096,1752958,963435,212671,,,,8943663.265,19742520.49,22153229.17,16946470.97,CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,2.45,3.7,0.76,2.23,3.295,16.154,418.3208,0,21,0,5,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,7.23
Esi+,DTXSID0040705,132-60-5,Cinchophen,2.09,2,0,0,,,0,0.49,0.122,0.024,13473054,3977265,682177,955458,670896,98008,27496028.57,32600532.79,28424041.67,29506867.67,OC(=O)C1=C2C=CC=CC2=NC(=C1)C1=CC=CC=C1,OC(=O)C1=C2C=CC=CC2=NC(=C1)C1=CC=CC=C1,OC(=O)C1=C2C=CC=CC2=NC(=C1)C1=CC=CC=C1,OC(=O)C1=C2C=CC=CC2=NC(=C1)C1=CC=CC=C1,2.23,1.87,0.46,0.72,1.8674,10.023,238.1767,0,16,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,7.47
Esi+,DTXSID0040707,33228-44-3,4-Pentylaniline,8.7,1,0,0,,,0,0.49,0.122,0.024,718810,240144,54049,,,,1466959.184,1968393.443,2252041.667,1895798.098,CCCCCC1=CC=C(N)C=C1,CCCCCC1=CC=C(N)C=C1,CCCCCC1=CC=C(N)C=C1,CCCCCC1=CC=C(N)C=C1,0.92,0.94,0.27,0.39,1.5207,6.372,146.1244,0,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,6.28
Esi+,DTXSID0041220,1469-48-3,"cis-1,2,3,6-Tetrahydrophthalimide",5.66,1,0,0,,,0,0.49,0.122,0.024,333906,143096,,,,,681440.8163,1172918.033,,927179.4246,O=C1NC(=O)[C@@H]2CC=CC[C@H]12,O=C1NC(=O)C2CC=CCC12,O=C1NC(=O)[C@@H]2CC=CC[C@H]12,O=C1NC(=O)[C@@H]2CC=CC[C@H]12,1.01,1.43,0.53,0.8,1.1068,5.599,144.10698,0,8,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5.97
Esi+,DTXSID0041985,6/1/76,Fluorosalan,8.7,1,0,0,,,0,0.49,0.122,0.024,366426,208787,67591,,,,747808.1633,1711368.852,2816291.667,1758489.561,OC1=C(C=C(Br)C=C1Br)C(=O)NC1=CC(=CC=C1)C(F)(F)F,OC1=C(C=C(Br)C=C1Br)C(=O)NC1=CC(=CC=C1)C(F)(F)F,OC1=C(C=C(Br)C=C1Br)C(=O)NC1=CC(=CC=C1)C(F)(F)F,OC1=C(C=C(Br)C=C1Br)C(=O)NC1=CC(=CC=C1)C(F)(F)F,1.96,1.79,0.79,0.49,2.1833,10.717,430.9585096,0,14,0,1,2,0,3,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,6.25
Esi+,DTXSID0042086,59227-89-3,Laurocapram,14.16,1,0,0,,,0,0.49,0.122,0.024,122953128,35861328,7406125,,,,250924751,293945311.5,308588541.7,284486201.4,CCCCCCCCCCCCN1CCCCCC1=O,CCCCCCCCCCCCN1CCCCCC1=O,CCCCCCCCCCCCN1CCCCCC1=O,CCCCCCCCCCCCN1CCCCCC1=O,0.43,1.15,0,0.87,2.6517,10.172,246.1987,0,18,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.45
Esi+,DTXSID0042117,2595-54-2,Mecarbam,8.78,1,0,0,,,0,0.49,0.122,0.024,19332508,6900936,1393732,,,,39454097.96,56565049.18,58072166.67,51363771.27,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,1,1.92,0,1.59,2.3565,8.656,309.214462,0,10,0,1,5,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7.71
Esi+,DTXSID0044654,32780-64-6,Labetalol hydrochloride,2.98,1,0,0,,,0,0.49,0.122,0.024,28738806,11663316,2295423,,,,58650624.49,95600950.82,95642625,83298066.77,Cl.CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1,CC(CCC1=CC=CC=C1)NCC(O)C1=CC=C(O)C(=C1)C(N)=O,CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1,CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1,2.27,1.99,1.18,1.64,2.6432,12.461,304.2149,0,19,0,2,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,2,7.92
Esi+,DTXSID0044737,86-16-8,"4-(2,5-Diethoxy-4-nitrophenyl)morpholine",6.76,1,0,0,,,0,0.392,0.0976,0.0192,16217444,6725600,1170737,,,,41371030.61,68909836.07,60975885.42,57085584.03,CCOC1=CC(=C(OCC)C=C1N1CCOCC1)[N+]([O-])=O,CCOC1=CC(=C(OCC)C=C1N1CCOCC1)[N+]([O-])=O,CCOC1=CC(=C(OCC)C=C1N1CCOCC1)[N+]([O-])=O,CCOC1=CC(=C(OCC)C=C1N1CCOCC1)[N+]([O-])=O,1.44,1.54,0,1.46,2.1851,9.335,276.1602,2,14,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,1,7.76
Esi+,DTXSID0044868,2050-43-3,"N-(2,4-Dimethylphenyl)acetamide",2.63,1,0,0,,,0,0.49,0.122,0.024,13460391,4565359,967909,,,,27470185.71,37420975.41,40329541.67,35073567.6,CC(=O)NC1=CC=C(C)C=C1C,CC(=O)NC1=CC=C(C)C=C1C,CC(=O)NC1=CC=C(C)C=C1C,CC(=O)NC1=CC=C(C)C=C1C,0.97,1.25,0.33,0.86,1.3955,6.066,150.1131,0,10,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,7.54
Esi+,DTXSID0044995,86-20-4,9-Ethyl-3-nitro-9H-carbazole,9.21,2,0,0,,,0,0.4165,0.1037,0.0204,4063433,1897523,329173,617356,123703,162878,9756141.657,18298196.72,16135931.37,14730089.92,CCN1C2=C(C=CC=C2)C2=C1C=CC(=C2)[N+]([O-])=O,CCN1C2=C(C=CC=C2)C2=C1C=CC(=C2)[N+]([O-])=O,CCN1C2=C(C=CC=C2)C2=C1C=CC(=C2)[N+]([O-])=O,CCN1C2=C(C=CC=C2)C2=C1C=CC(=C2)[N+]([O-])=O,2.22,2,0,0.51,1.7714,9.516,228.162,2,14,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,7.17
Esi+,DTXSID0047248,NOCAS_47248,CI-1018,7.65,1,0,0,,,0,0.49,0.122,0.024,35242640,11757998,2473425,,,,71923755.1,96377032.79,103059375,90453387.63,CC1=CC2=C3N(CC2)C(=O)[C@H](NC(=O)C2=CC=NC=C2)N=C(C2=CC=CC=C2)C3=C1,Cc1cc2CCN3c2c(c1)C(=NC(NC(=O)c1ccncc1)C3=O)c1ccccc1,CC1=CC2=C3N(CC2)C(=O)[C@H](NC(=O)C2=CC=NC=C2)N=C(C2=CC=CC=C2)C3=C1,CC1=CC2=C3N(CC2)C(=O)[C@H](NC(=O)C2=CC=NC=C2)N=C(C2=CC=CC=C2)C3=C1,3.56,2.08,0.26,2.33,2.9478,15.207,377.29034,0,24,0,4,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,3,7.96
