Ionization_Mode,DTXSID,CASRN,Preferred_Name,mean_RT,n_Repeated_Hits,DTXSID_Isomer,Observed_Isomer,Isomer_Number,Isomer_Order,Questionable_Hit,Corrected_HighConc,Corrected_MidConc,Corrected_LowConc,mean_High_Intensity,mean_Mid_Intensity,mean_Low_Intensity,std_High_Intensity,std_Mid_Intensity,std_Low_Intensity,RF_HighConc,RF_MedConc,RF_LowConc,RF_Average,log_RF_Average,SMILES,QSAR_READY_SMILES,Desalted SMILES,E QSPR,S QSPR,A QSPR,B QSPR,V,L QSPR,MW,Ncharges,C,Cl,F,N,O,S,H,Br,I,P,RNH2,R2NH,R3N,ROPO3,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0022353,92-04-6,2-Chloro-4-phenylphenol,8.2,1,0,0,,,0,0.49,0.122,0.024,636517,161394,,,,,1299014.286,1322901.639,,1310957.963,6.12,OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1,OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1,OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1,1.64,1.42,0.41,0.4,1.5053,7.181,195.5808,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0025812,500-66-3,Olivetol,6.61,1,0,0,,,0,0.49,0.122,0.024,94850,45138,,,,,193571.4286,369983.6066,,281777.5176,5.45,CCCCCC1=CC(O)=CC(O)=C1,CCCCCC1=CC(O)=CC(O)=C1,CCCCCC1=CC(O)=CC(O)=C1,1.05,0.94,1.4,0.49,1.5383,6.867,164.1165,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0027981,525-31-5,"4-Amino-6-tert-butyl-3-thioxo-3,4-dihydro-1,2,4-triazin-5(2H)-one",3.09,1,0,0,,,0,0.49,0.122,0.024,1484938,422157,46635,,,,3030485.714,3460303.279,1943125,2811304.664,6.45,CC(C)(C)C1=NNC(=S)N(N)C1=O,CC(C)(C)C1N=NC(=S)N(N)C1=O,CC(C)(C)C1=NNC(=S)N(N)C1=O,1.39,1.02,0.96,1.04,1.4787,6.952,188.1661,0,7,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0029133,99-93-4,4-Hydroxyacetophenone,1.29,1,0,0,,,0,0.49,0.122,0.024,2997813,827478,142955,,,,6117985.714,6782606.557,5956458.333,6285683.535,6.80,CC(=O)C1=CC=C(O)C=C1,CC(=O)C1=CC=C(O)C=C1,CC(=O)C1=CC=C(O)C=C1,1.01,1.36,0.7,0.6,1.0726,5.451,128.0844,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0032497,55335-06-3,Triclopyr,2.71,1,0,0,,,0,0.732,0.244,0.061,850403,277693,56733,,,,1161752.732,1138086.066,930049.1803,1076629.326,6.03,OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,1.35,1.34,0.46,0.7,1.4574,7.344,252.4388,0,7,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0034803,219714-96-2,Penoxsulam,3.26,1,0,0,,,0,0.49,0.122,0.024,345630,90610,,,,,705367.3469,742704.918,,724036.1325,5.86,COC1=CN=C(OC)N2N=C(NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)N=C12,COC1=CN=C(OC)N2N=C(NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)N=C12,COC1=CN=C(OC)N2N=C(NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)N=C12,2.21,2.95,0.12,2.14,2.7807,12.889,469.258716,0,16,0,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0037237,10238-21-8,Glybenclamide,8.34,1,0,0,,,0,0.49,0.122,0.024,567602,185419,35036,,,,1158371.429,1519827.869,1459833.333,1379344.21,6.14,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,2.7,3.6,0.76,1.96,3.5583,17.217,465.7812,0,23,1,0,3,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0037576,1746-81-2,Monolinuron,4.47,1,0,0,,,0,0.732,0.244,0.061,123790,43179,,,,,169112.0219,176963.1148,,173037.5683,5.24,CON(C)C(=O)NC1=CC=C(Cl)C=C1,CON(C)C(=O)NC1=CC=C(Cl)C=C1,CON(C)C(=O)NC1=CC=C(Cl)C=C1,1.24,1.42,0.38,0.81,1.5355,7.05,203.5615,0,9,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0038887,2321-07-5,Fluorescein,3.44,1,0,0,,,0,0.49,0.122,0.024,1794003,405208,,,,,3661230.612,3321377.049,,3491303.831,6.54,OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1,OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1,OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1,2.66,2.74,0.82,0.81,2.2471,13.26,320.211,0,20,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0040676,29094-61-9,Glipizide,5.3,1,0,0,,,0,0.196,0.0488,0.0096,170197,55805,,,,,868352.0408,1143545.082,,1005948.561,6.00,CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,2.45,3.7,0.76,2.23,3.295,16.154,418.3208,0,21,0,0,5,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0040705,132-60-5,Cinchophen,2.08,2,0,0,,,0,0.49,0.122,0.024,472329,99932,,49806,557,,963936.7347,819114.7541,,891525.7444,5.95,OC(=O)C1=C2C=CC=CC2=NC(=C1)C1=CC=CC=C1,OC(=O)C1=C2C=CC=CC2=NC(=C1)C1=CC=CC=C1,OC(=O)C1=C2C=CC=CC2=NC(=C1)C1=CC=CC=C1,2.23,1.87,0.46,0.72,1.8674,10.023,238.1767,0,16,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0041197,373-49-9,(Z)-Hexadec-9-enoic acid,13.41,1,0,0,,,0,0.49,0.122,0.024,1603729,399804,69819,,,,3272916.327,3277081.967,2909125,3153041.098,6.50,CCCCCC\C=C/CCCCCCCC(O)=O,CCCCCCC=CCCCCCCCC(O)=O,CCCCCC\C=C/CCCCCCCC(O)=O,0.28,0.85,0.57,0.66,2.3944,8.589,224.17,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0041567,141-22-0,"(9Z,12R)-12-Hydroxyoctadec-9-enoic acid",11.68,1,0,0,,,0,0.49,0.122,0.024,2838366,828967,243964,,,,5792583.673,6794811.475,10165166.67,7584187.272,6.88,CCCCCC[C@@H](O)C\C=C/CCCCCCCC(O)=O,CCCCCCC(O)CC=CCCCCCCCC(O)=O,CCCCCC[C@@H](O)C\C=C/CCCCCCCC(O)=O,0.87,1.12,0.88,1.18,2.7349,10.153,265.19874,0,18,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0044654,32780-64-6,Labetalol hydrochloride,2.99,1,0,0,,,0,0.49,0.122,0.024,1312540,485188,101559,,,,2678653.061,3976950.82,4231625,3629076.294,6.56,Cl.CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1,CC(CCC1=CC=CC=C1)NCC(O)C1=CC=C(O)C(=C1)C(N)=O,CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1,2.27,1.99,1.18,1.64,2.6432,12.461,304.2149,0,19,0,0,2,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0044862,1852-04-6,Undecanedioic acid,0.81,1,0,0,,,0,0.49,0.122,0.024,680288,212910,48718,,,,1388342.857,1745163.934,2029916.667,1721141.153,6.24,OC(=O)CCCCCCCCCC(O)=O,OC(=O)CCCCCCCCCC(O)=O,OC(=O)CCCCCCCCCC(O)=O,0.31,1.47,1.14,0.88,1.8073,7.104,196.1153,0,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0047290,402910-27-4,UK-416244,4.7,1,0,0,,,0,0.49,0.122,0.024,202642,,,,,,413555.102,,,413555.102,5.62,CSC1=CC=C(OC2=CC=C(C=C2CN(C)C)S(N)(=O)=O)C=C1C,CSC1=CC=C(OC2=CC=C(C=C2CN(C)C)S(N)(=O)=O)C=C1C,CSC1=CC=C(OC2=CC=C(C=C2CN(C)C)S(N)(=O)=O)C=C1C,2.35,2.59,0.51,1.68,2.7314,12.575,344.3235,0,17,0,0,2,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0047296,112733-06-9,Zenarestat,6.89,1,0,0,,,0,0.245,0.061,0.012,688866,231509,39717,,,,2811697.959,3795229.508,3309750,3305559.156,6.52,OC(=O)CN1C(=O)N(CC2=CC=C(Br)C=C2F)C(=O)C2=C1C=C(Cl)C=C2,OC(=O)CN1C(=O)N(CC2=CC=C(Br)C=C2F)C(=O)C2=C1C=C(Cl)C=C2,OC(=O)CN1C(=O)N(CC2=CC=C(Br)C=C2F)C(=O)C2=C1C=C(Cl)C=C2,2.78,2.58,0.46,1.26,2.5406,13.99,430.5483032,0,17,1,1,2,4,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0047327,313994-79-5,MK-578,8.07,1,0,0,,,0,0.441,0.1098,0.0216,263769,93223,,,,,598115.6463,849025.5009,,723570.5736,5.86,CCN1N=C(CC2=CC=CC=C2)C=C1C1CCN(C[C@H]2C[C@@H](C[C@@H]2C2=CC=CC(F)=C2)N(C)[C@H](C(C)C)C(O)=O)CC1,CCN1N=C(CC2=CC=CC=C2)C=C1C1CCN(CC2CC(CC2C2=CC=CC(F)=C2)N(C)C(C(C)C)C(O)=O)CC1,CCN1N=C(CC2=CC=CC=C2)C=C1C1CCN(C[C@H]2C[C@@H](C[C@@H]2C2=CC=CC(F)=C2)N(C)[C@H](C(C)C)C(O)=O)CC1,2.32,3.36,0.46,2.57,4.6444,20.162,531.4302632,0,35,0,1,4,2,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0047377,NOCAS_47377,AVE6324,10.43,1,0,0,,,0,0.49,0.122,0.024,161561,69897,,,,,329716.3265,572926.2295,,451321.278,5.65,Cl.CCOC(=O)O[C@H](C)OC(=O)C1=CC=C2N(CC3=NOC(=C3)C3=CC=C(Cl)S3)C(=CC2=C1)C(=O)NC1CCN(CC1)C(C)C,CCOC(=O)OC(C)OC(=O)c1ccc2n(Cc3cc(on3)-c3ccc(Cl)s3)c(cc2c1)C(=O)NC1CCN(CC1)C(C)C,CCOC(=O)O[C@H](C)OC(=O)C1=CC=C2N(CC3=NOC(=C3)C3=CC=C(Cl)S3)C(=CC2=C1)C(=O)NC1CCN(CC1)C(C)C,3.46,3.94,0.26,3.15,4.5565,22.189,608.88024,0,31,1,0,4,7,1,1,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0047957,1219-38-1,Octylparaben,11.83,1,0,0,,,0,0.49,0.122,0.024,16824424,6975511,1202634,,,,34335559.18,57176319.67,50109750,47207209.62,7.67,CCCCCCCCOC(=O)C1=CC=C(O)C=C1,CCCCCCCCOC(=O)C1=CC=C(O)C=C1,CCCCCCCCOC(=O)C1=CC=C(O)C=C1,0.87,1.42,0.7,0.46,2.1176,9.021,228.1587,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0048505,NOCAS_48505,PharmaGSID_48505,7.78,1,0,0,,,0,0.49,0.122,0.024,861936,234746,57421,,,,1759053.061,1924147.541,2392541.667,2025247.423,6.31,CC1=C2N=C(C3=CC=CC=C3Cl)C3=C(NC2=NN1)C=CC(=C3)[N+]([O-])=O,CC1=C2N=C(C3=CC=CC=C3Cl)C3=C(NC2=NN1)C=CC(=C3)[N+]([O-])=O,CC1=C2N=C(C3=CC=CC=C3Cl)C3=C(NC2=NN1)C=CC(=C3)[N]([O])=O,3.15,2.02,1.14,1.46,2.3783,13.507,341.6672,0,17,1,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID1020063,121-88-0,2-Amino-5-nitrophenol,0.95,1,0,0,,,0,0.49,0.122,0.024,3293017,1055833,169143,,,,6720442.857,8654368.852,7047625,7474145.57,6.87,NC1=C(O)C=C(C=C1)[N+]([O-])=O,NC1=C(O)C=C(C=C1)[N+]([O-])=O,NC1=C(O)C=C(C=C1)[N]([O])=O,1.24,1.58,0.68,1.09,1.0491,5.911,148.0758,0,6,0,0,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
